drug_name,drug_name_en,drug_synonyms,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indications_json
177Lu-JH04,177Lu-JH04,177Lu-JH04;JH004;[177Lu]JH040182,FAP,anti-FAP多肽偶联核素;177Lu标记的放射性药物,晶核生物(原研),创新药,化药,小分子;多肽;放射性药物;偶联药物,环肽;治疗用放射性药物,177Lu标记的放射性药物;多肽偶联核素,I期临床,2024/10/10,Active,肿瘤领域,DR069733,中国(内地),phase 1,I期临床,2024/10/10,phase 1,1,TRUE,FALSE,FALSE,[],['晶核生物'],1,['晶核生物(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
177Lu-LNC1010,177Lu-LNC1010,177Lu-LNC1010;177Lu-EB-TATE-01,SSTR2,177Lu标记的放射性药物;anti-SSTR2多肽偶联核素,蓝纳成生物(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物,177Lu标记的放射性药物;多肽偶联核素,I期临床,,Active,肿瘤领域,DR015637,中国(内地),phase 1,I/II期临床,2022/6/8,phase 2,1,TRUE,FALSE,FALSE,[],['蓝纳成生物'],1,['蓝纳成生物(原研)'],['肿瘤领域'],1,肿瘤领域,,,2,1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""胃肠胰神经内分泌肿瘤"", ""indication_en"": ""Gastroenteropancreatic neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
177Lu-PD-29875,177Lu-PD-29875,177Lu-PD-29875,CLDN18.2,177Lu标记的放射性药物;anti-CLDN18.2多肽偶联核素,PeptiDream(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;治疗用放射性药物;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,临床前,2025/4/27,Active,肿瘤领域;罕见疾病领域,DR081156,日本,pre-clinical,临床前,2025/4/27,pre-clinical,1,TRUE,TRUE,FALSE,[],['PeptiDream'],1,['PeptiDream(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""胰腺癌"", ""indication_en"": ""pancreatic cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
177Lu-PD-32766,177Lu-PD-32766,177Lu-PD-32766,CAIX,anti-CAIX多肽偶联核素;177Lu标记的放射性药物,PeptiDream(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;治疗用放射性药物,多肽偶联核素;177Lu标记的放射性药物,临床前,,Active,诊断试剂领域,DR071097,日本,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['PeptiDream'],1,['PeptiDream(原研)'],['诊断试剂领域'],1,诊断试剂领域,,,-1,-1,Diagnostic Reagents,,,"[{""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肾透明细胞癌"", ""indication_en"": ""clear cell renal cell carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
177Lu-PTR-58,177Lu-PTR-58,177Lu-PTR-58,SSTR3,anti-SSTR3多肽偶联核素,Starget Pharma(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物;诊断用放射性药物;中国无申报;Potential First-in-Class,多肽偶联核素,临床前,,Active,肿瘤领域,DR070791,以色列,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Starget Pharma'],1,['Starget Pharma(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肉瘤"", ""indication_en"": ""sarcoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
177Lu-RAYZ-6114,177Lu-RAYZ-6114,177Lu-RAYZ-6114,EphA2,177Lu标记的放射性药物;anti-EphA2多肽偶联核素,PeptiDream(原研);RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;受体酪氨酸激酶;中国无申报;Potential First-in-Class,177Lu标记的放射性药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR076538,美国;日本,pre-clinical,临床前,,pre-clinical,2,TRUE,FALSE,TRUE,['RayzeBio(Bristol-Myers Squibb)'],"['PeptiDream', 'RayzeBio(Bristol-Myers Squibb)']",2,"['PeptiDream(原研)', 'RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
177Lu-RAYZ-6283,177Lu-RAYZ-6283,177Lu-RAYZ-6283,EphA2,177Lu标记的放射性药物;anti-EphA2多肽偶联核素,PeptiDream(原研);RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;受体酪氨酸激酶;中国无申报;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,临床前,,Active,肿瘤领域,DR073584,美国;日本,pre-clinical,临床前,,pre-clinical,2,TRUE,FALSE,TRUE,['RayzeBio(Bristol-Myers Squibb)'],"['PeptiDream', 'RayzeBio(Bristol-Myers Squibb)']",2,"['PeptiDream(原研)', 'RayzeBio(Bristol-Myers Squibb)(Top20 MNC)(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
镥[177Lu]依多曲肽,177Lu-edotreotide,镥[177Lu]依多曲肽;177Lu-edotreotide;177Lu-DOTATOC;Solucin;ITM-11;镥[177Lu]依度曲肽,SSTR,anti-SSTR多肽偶联核素;177Lu标记的放射性药物,ITM Isotope(原研);远大医药;Duchembio,创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物,多肽偶联核素;177Lu标记的放射性药物,申请上市,2025/11/13,Active,肿瘤领域;罕见疾病领域,DR064918,欧洲,pre-registration,申请上市,2025/11/13,pre-registration,3,TRUE,TRUE,FALSE,[],['ITM Isotope'],1,"['ITM Isotope(原研)', '远大医药', 'Duchembio']",['肿瘤领域'],1,肿瘤领域,,,4,4,Oncology,,,"[{""indication"": ""胃肠胰神经内分泌肿瘤"", ""indication_en"": ""Gastroenteropancreatic neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-registration"", ""highest_phase_sort_val"": 4}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""嗜铬细胞瘤"", ""indication_en"": ""Pheochromocytoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""副神经节瘤"", ""indication_en"": ""paraganglioma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""脑膜瘤"", ""indication_en"": ""Meningioma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""脑癌"", ""indication_en"": ""brain cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""淋巴瘤"", ""indication_en"": ""Lymphoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""胰腺神经内分泌肿瘤"", ""indication_en"": ""pancreatic neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""ind"", ""highest_phase_sort_val"": 0}]"
177Lu-pentixather,177Lu-pentixather,177Lu-pentixather;[177Lu]pentixather;(177)Lu-pentixather,CXCR4,177Lu标记的放射性药物,Scintomics(原研),创新药,化药,小分子;放射性药物,环肽;差异化疾病;治疗用放射性药物;G蛋白偶联受体;Potential First-in-Class,177Lu标记的放射性药物,I/II期临床,2024/11/21,Active,肿瘤领域;血液领域;罕见疾病领域,DR007291,欧洲,phase 2,I/II期临床,2024/4/10,phase 2,1,TRUE,TRUE,FALSE,[],['Scintomics'],1,['Scintomics(原研)'],"['肿瘤领域', '血液领域']",2,肿瘤领域,血液领域,,2,2,Oncology,Hematology,,"[{""indication"": ""急性淋巴细胞白血病"", ""indication_en"": ""acute lymphoblastic leukemia"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""急性髓系白血病"", ""indication_en"": ""acute myeloid leukemia"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""急性白血病"", ""indication_en"": ""acute leukemia"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""多发性骨髓瘤"", ""indication_en"": ""multiple myeloma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
177Lu-satoreotide tetraxetan,177Lu-satoreotide tetraxetan,177Lu-satoreotide tetraxetan;177Lu-OPS201;177Lu-DOTA-JR11;177Lu-IPN01072;SSO110;[177Lu]Lu-SSO110,SSTR2,177Lu标记的放射性药物;anti-SSTR2多肽偶联核素,Ariceum Therapeutics;Ipsen(原研)(无权益),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,I/II期临床,2015/10/29,Active,肿瘤领域;罕见疾病领域,DR016814,欧洲,phase 2,I/II期临床,2015/10/29,phase 2,2,TRUE,TRUE,FALSE,[],['Ipsen'],1,"['Ariceum Therapeutics', 'Ipsen(原研)(无权益)']",['肿瘤领域'],1,肿瘤领域,,,2,2,Oncology,,,"[{""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""脑膜瘤"", ""indication_en"": ""Meningioma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
18F-AlF-NOTA-FAPI,18F-AlF-NOTA-FAPI,18F-AlF-NOTA-FAPI;Al18F-NOTA-FAPI,FAP,18F标记的PET药物,北京大学(原研),创新药,化药,放射性药物;其他,环肽;诊断用放射性药物,18F标记的PET药物,II/III期临床,2023/3/1,Active,肿瘤领域,DR057490,中国(内地),phase 3,II/III期临床,2023/3/1,phase 3,1,TRUE,FALSE,FALSE,[],['北京大学'],1,['北京大学(原研)'],['肿瘤领域'],1,肿瘤领域,,,3,3,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""胃癌"", ""indication_en"": ""stomach cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
18F-AlF-NOTA-octreotide,18F-AlF-NOTA-octreotide,18F-AlF-NOTA-octreotide;18F-IMP466;Al18F-NOTA-octreotide;Al18F-octreotide;Al18F-NOTA-TATE,SSTR,anti-SSTR多肽偶联核素;18F标记的PET药物,中南大学湘雅医院(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;诊断用放射性药物;Potential First-in-Class,18F标记的PET药物;多肽偶联核素,II/III期临床,2020/9/17,Active,诊断试剂领域,DR002664,中国(内地),phase 3,II/III期临床,2020/9/17,phase 3,1,TRUE,FALSE,FALSE,[],['中南大学湘雅医院'],1,['中南大学湘雅医院(原研)'],['诊断试剂领域'],1,诊断试剂领域,,,3,3,Diagnostic Reagents,,,"[{""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""心肌梗塞"", ""indication_en"": ""myocardial infarction"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""动脉粥样硬化"", ""indication_en"": ""atherosclerosis"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""卒中"", ""indication_en"": ""Stroke"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""心脏停搏"", ""indication_en"": ""cardiac arrest"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""不稳定性心绞痛"", ""indication_en"": ""unstable angina"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""颈动脉疾病"", ""indication_en"": ""carotid artery disease"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""颈动脉狭窄"", ""indication_en"": ""Carotid artery stenosis"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""神经母细胞瘤"", ""indication_en"": ""Neuroblastoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""抑郁症"", ""indication_en"": ""depression"", ""therapeutic_area"": ""精神领域"", ""therapeutic_area_en"": ""Psychiatry"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""不孕不育"", ""indication_en"": ""Infertility"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""嗜铬细胞瘤"", ""indication_en"": ""Pheochromocytoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""骨转移疼痛"", ""indication_en"": ""bone metastasis pain"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""副神经节瘤"", ""indication_en"": ""paraganglioma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
18F-SiTATE,18F-SiTATE (LMU Munich),18F-SiTATE;18F-SiTATE (LMU Munich);[18F]SiTATE,SSTR,anti-SSTR多肽偶联核素;18F标记的PET药物,Ludwig Maximilian University of Munich(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;诊断用放射性药物,18F标记的PET药物;多肽偶联核素,I期临床,2025/9/26,Active,肿瘤领域;罕见疾病领域,DR081193,欧洲,phase 1,I期临床,2025/9/26,phase 1,1,TRUE,TRUE,FALSE,[],['Ludwig Maximilian University of Munich'],1,['Ludwig Maximilian University of Munich(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""神经母细胞瘤"", ""indication_en"": ""Neuroblastoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""抑郁症"", ""indication_en"": ""depression"", ""therapeutic_area"": ""精神领域"", ""therapeutic_area_en"": ""Psychiatry"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""不孕不育"", ""indication_en"": ""Infertility"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""嗜铬细胞瘤"", ""indication_en"": ""Pheochromocytoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""骨转移疼痛"", ""indication_en"": ""bone metastasis pain"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""副神经节瘤"", ""indication_en"": ""paraganglioma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""脑膜瘤"", ""indication_en"": ""Meningioma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
18F-WL12,18F-WL12,18F-WL12,PDL1,18F标记的PET药物;anti-PDL1多肽偶联核素,北京大学肿瘤医院(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;肿瘤免疫,18F标记的PET药物;多肽偶联核素,I期临床,,Active,肿瘤领域,DR011153,中国(内地),phase 1,I期临床,2020/3/11,phase 1,1,TRUE,FALSE,FALSE,[],['北京大学肿瘤医院'],1,['北京大学肿瘤医院(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
203Pb-pentixather,203Pb-pentixather,203Pb-pentixather,CXCR4,203Pb标记的放射性示踪剂,University of Iowa(原研),创新药,化药,小分子;放射性药物,环肽;诊断用放射性药物;G蛋白偶联受体;Potential First-in-Class,203Pb标记的放射性示踪剂,I期临床,2022/9/28,Active,肿瘤领域;罕见疾病领域,DR013617,美国,phase 1,I期临床,2022/9/28,phase 1,1,TRUE,TRUE,FALSE,[],['University of Iowa'],1,['University of Iowa(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""SPECT显像"", ""indication_en"": ""SPECT imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""肺类癌"", ""indication_en"": ""lung carcinoid"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
212Pb-dotamtate,212Pb-dotamtate,212Pb-dotamtate;AlphaMedix;212Pb-DOTAMTATE;212Pb-AR-RMX;ORM2110;SAR447873,SSTR,212Pb标记的放射性药物;anti-SSTR多肽偶联核素,Sanofi(Top20 MNC);Orano Med(原研)(无权益);RadioMedix(原研)(无权益),创新药,化药,多肽;放射性药物;偶联药物,环肽;2024年转化医学TOP25;中国无申报;Potential First-in-Class;2024 ASCO新机会,多肽偶联核素;212Pb标记的放射性药物,II期临床,2021/12/10,Active,肿瘤领域;罕见疾病领域,DR056969,美国,phase 2,II期临床,2021/12/10,phase 2,3,TRUE,TRUE,TRUE,['Sanofi'],"['Orano Med', 'RadioMedix']",2,"['Sanofi(Top20 MNC)', 'Orano Med(原研)(无权益)', 'RadioMedix(原研)(无权益)']",['肿瘤领域'],1,肿瘤领域,,,2,2,Oncology,,,"[{""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""胃肠胰神经内分泌肿瘤"", ""indication_en"": ""Gastroenteropancreatic neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}]"
212Pb-pentixather,212Pb-pentixather,212Pb-pentixather,CXCR4,212Pb标记的放射性药物,University of Iowa(原研),创新药,化药,小分子;放射性药物,环肽;治疗用放射性药物;G蛋白偶联受体;Potential First-in-Class,212Pb标记的放射性药物,I期临床,2022/9/28,Active,肿瘤领域;罕见疾病领域,DR028994,美国,phase 1,I期临床,2022/9/28,phase 1,1,TRUE,TRUE,FALSE,[],['University of Iowa'],1,['University of Iowa(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""肺类癌"", ""indication_en"": ""lung carcinoid"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
225Ac-DOTA-LM3,225Ac-DOTA-LM3,225Ac-DOTA-LM3,SSTR2,225Ac标记的放射性药物;anti-SSTR2多肽偶联核素,Università Cattolica del Sacro Cuore(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;治疗用放射性药物,多肽偶联核素;225Ac标记的放射性药物,I期临床,,Active,肿瘤领域;罕见疾病领域,DR089738,欧洲,phase 1,I期临床,,phase 1,1,TRUE,TRUE,FALSE,[],['Università Cattolica del Sacro Cuore'],1,['Università Cattolica del Sacro Cuore(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
225Ac-EBTATE,225Ac-EBTATE,225Ac-EBTATE,SSTR,anti-SSTR多肽偶联核素;225Ac标记的放射性药物,Molecular Targeting Technologies(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物,多肽偶联核素;225Ac标记的放射性药物,临床前,,Active,肿瘤领域;罕见疾病领域,DR071624,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,TRUE,FALSE,[],['Molecular Targeting Technologies'],1,['Molecular Targeting Technologies(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
